,WindDir,WindSpeed,Temp,Humidity,Pressure,Precip
2022-01-01 00:00:00,287,6,11.2,93,1001.9,0.3
2022-01-01 01:00:00,292,6,11.6,90,1002.6,0.0
2022-01-01 02:00:00,289,4,11.4,90,1003.2,0.0
2022-01-01 03:00:00,289,6,11.6,90,1003.5,0.0
2022-01-01 04:00:00,285,7,11.4,92,1004.0,0.0
2022-01-01 05:00:00,289,6,11.4,91,1004.5,0.0
2022-01-01 06:00:00,286,6,11.2,93,1004.9,0.2
2022-01-01 07:00:00,291,5,11.1,92,1005.6,0.0
2022-01-01 08:00:00,292,5,11.4,88,1006.1,0.0
2022-01-01 09:00:00,288,6,11.4,89,1006.6,0.0
2022-01-01 10:00:00,297,3,11.0,94,1007.2,0.0
2022-01-01 11:00:00,293,5,11.6,88,1007.4,0.0
2022-01-01 12:00:00,293,5,11.8,86,1007.6,1.0
2022-01-01 13:00:00,290,5,11.9,86,1007.9,0.0
2022-01-01 14:00:00,294,4,11.9,84,1008.4,0.0
2022-01-01 15:00:00,294,4,11.7,84,1009.0,0.0
2022-01-01 16:00:00,286,3,10.9,89,1009.4,0.0
2022-01-01 17:00:00,291,3,10.7,90,1009.6,0.0
2022-01-01 18:00:00,293,3,10.6,89,1009.9,0.0
2022-01-01 19:00:00,307,1,10.2,94,1010.4,0.0
2022-01-01 20:00:00,244,2,9.5,96,1010.2,0.0
2022-01-01 21:00:00,250,1,9.7,97,1010.1,0.0
2022-01-01 22:00:00,250,1,9.4,95,1010.1,0.0
2022-01-01 23:00:00,161,1,8.7,95,1009.5,0.0
2022-01-02 00:00:00,73,1,8.8,96,1008.9,0.7
2022-01-02 01:00:00,160,1,7.5,96,1008.0,0.0
2022-01-02 02:00:00,147,1,7.4,95,1007.6,0.0
2022-01-02 03:00:00,167,1,5.7,96,1006.7,0.0
2022-01-02 04:00:00,161,3,4.5,95,1005.3,0.0
2022-01-02 05:00:00,163,2,5.7,94,1004.5,0.0
2022-01-02 06:00:00,159,2,4.4,94,1003.7,0.0
2022-01-02 07:00:00,180,1,4.4,96,1003.1,0.0
2022-01-02 08:00:00,229,3,7.1,90,1002.5,0.0
2022-01-02 09:00:00,234,3,9.7,79,1002.2,0.0
2022-01-02 10:00:00,233,4,10.8,76,1001.9,0.0
2022-01-02 11:00:00,240,5,11.7,72,1001.0,0.0
2022-01-02 12:00:00,246,4,11.5,73,1000.2,0.0
2022-01-02 13:00:00,243,3,12.0,74,999.7,0.0
2022-01-02 14:00:00,222,3,11.4,73,998.8,0.0
2022-01-02 15:00:00,220,4,11.3,73,997.8,0.0
2022-01-02 16:00:00,200,4,10.5,80,996.4,0.0
2022-01-02 17:00:00,206,5,11.4,69,995.6,0.0
2022-01-02 18:00:00,237,8,11.1,67,995.6,0.0
2022-01-02 19:00:00,248,8,10.7,68,995.6,0.0
2022-01-02 20:00:00,262,7,10.9,68,995.8,0.0
2022-01-02 21:00:00,273,7,11.1,68,995.4,0.0
2022-01-02 22:00:00,266,8,11.4,67,995.5,0.0
2022-01-02 23:00:00,262,6,11.2,66,995.6,0.0
2022-01-03 00:00:00,255,4,10.8,66,995.2,0.0
2022-01-03 01:00:00,255,5,10.6,67,995.0,0.0
2022-01-03 02:00:00,231,4,8.7,74,994.0,0.0
2022-01-03 03:00:00,232,4,9.4,74,993.5,0.0
2022-01-03 04:00:00,250,4,9.1,81,992.9,0.0
2022-01-03 05:00:00,270,7,10.0,74,992.5,0.0
2022-01-03 06:00:00,274,8,9.9,73,992.6,0.2
2022-01-03 07:00:00,279,9,9.8,70,993.0,0.0
2022-01-03 08:00:00,274,11,10.2,66,993.6,0.0
2022-01-03 09:00:00,275,10,10.0,68,994.0,0.0
2022-01-03 10:00:00,283,9,10.5,66,994.5,0.0
2022-01-03 11:00:00,285,9,10.6,65,994.7,0.0
2022-01-03 12:00:00,284,11,10.7,64,994.3,0.0
2022-01-03 13:00:00,282,9,11.0,61,994.8,0.0
2022-01-03 14:00:00,280,9,10.2,62,994.8,0.0
2022-01-03 15:00:00,276,6,9.8,63,994.8,0.0
2022-01-03 16:00:00,268,6,8.8,62,994.8,0.0
2022-01-03 17:00:00,261,4,8.0,67,994.7,0.0
2022-01-03 18:00:00,231,4,8.4,67,994.3,0.0
2022-01-03 19:00:00,228,3,7.6,72,994.0,0.0
2022-01-03 20:00:00,235,4,8.0,75,993.5,0.0
2022-01-03 21:00:00,234,4,7.4,77,993.0,0.0
2022-01-03 22:00:00,238,5,7.4,79,992.4,0.0
2022-01-03 23:00:00,253,5,7.9,82,992.2,0.0
2022-01-04 00:00:00,231,4,7.7,84,991.4,0.1
2022-01-04 01:00:00,223,4,7.6,82,991.0,0.0
2022-01-04 02:00:00,210,4,6.8,84,990.1,0.0
