,WindDir,WindSpeed,Temp,Humidity,Pressure,Precip
2016-01-01 00:00:00,205,2,-6.2,79,1012.3,0.0
2016-01-01 01:00:00,198,2,-5.5,80,1012.1,0.0
2016-01-01 02:00:00,147,2,-4.1,81,1011.6,0.0
2016-01-01 03:00:00,140,1,-3.3,82,1011.7,0.0
2016-01-01 04:00:00,118,2,-2.8,79,1011.5,0.0
2016-01-01 05:00:00,125,1,-2.5,79,1011.5,0.0
2016-01-01 06:00:00,150,1,-2.7,94,1011.4,0.0
2016-01-01 07:00:00,121,2,-2.3,96,1011.7,0.0
2016-01-01 08:00:00,128,2,-2.1,96,1011.7,0.0
2016-01-01 09:00:00,166,2,-1.7,96,1011.6,0.0
2016-01-01 10:00:00,196,2,-1.2,96,1011.4,0.0
2016-01-01 11:00:00,143,2,-0.9,96,1011.2,0.0
2016-01-01 12:00:00,57,2,-0.6,96,1010.8,1.8
2016-01-01 13:00:00,19,2,-0.3,96,1010.9,0.0
2016-01-01 14:00:00,227,2,-0.3,96,1010.9,0.0
2016-01-01 15:00:00,228,2,-0.3,97,1011.3,0.0
2016-01-01 16:00:00,108,1,-0.6,98,1011.2,0.0
2016-01-01 17:00:00,127,2,-0.7,98,1011.1,0.0
2016-01-01 18:00:00,116,2,-0.9,98,1011.1,1.0
2016-01-01 19:00:00,117,2,-1.3,96,1011.4,0.0
2016-01-01 20:00:00,99,2,-1.5,96,1011.3,0.0
2016-01-01 21:00:00,91,3,-1.6,96,1011.2,0.0
2016-01-01 22:00:00,91,3,-1.8,95,1011.0,0.0
2016-01-01 23:00:00,96,3,-1.9,94,1010.9,0.0
2016-01-02 00:00:00,104,4,-2.0,94,1010.6,1.3
2016-01-02 01:00:00,99,4,-2.2,89,1010.5,0.0
2016-01-02 02:00:00,108,5,-2.9,85,1010.5,0.0
2016-01-02 03:00:00,77,5,-4.1,87,1010.6,0.0
2016-01-02 04:00:00,81,6,-6.4,85,1010.8,0.0
2016-01-02 05:00:00,89,6,-7.8,84,1011.2,0.0
2016-01-02 06:00:00,89,6,-8.9,83,1011.7,0.1
2016-01-02 07:00:00,89,6,-10.3,81,1012.1,0.0
2016-01-02 08:00:00,89,6,-11.2,80,1012.5,0.0
2016-01-02 09:00:00,101,6,-10.9,79,1012.7,0.0
2016-01-02 10:00:00,112,6,-10.2,77,1012.6,0.0
2016-01-02 11:00:00,84,6,-9.6,75,1012.2,0.0
2016-01-02 12:00:00,87,6,-8.6,73,1011.9,0.0
2016-01-02 13:00:00,94,7,-7.7,70,1011.6,0.0
2016-01-02 14:00:00,105,4,-7.6,71,1011.5,0.0
2016-01-02 15:00:00,252,3,-9.9,80,1011.7,0.0
2016-01-02 16:00:00,97,5,-9.5,76,1011.8,0.0
2016-01-02 17:00:00,144,3,-12.1,83,1011.8,0.0
2016-01-02 18:00:00,97,6,-9.3,73,1011.7,0.0
2016-01-02 19:00:00,97,7,-8.9,74,1011.7,0.0
2016-01-02 20:00:00,94,7,-8.7,73,1011.6,0.0
2016-01-02 21:00:00,89,6,-9.6,73,1011.3,0.0
2016-01-02 22:00:00,84,5,-10.3,75,1011.1,0.0
2016-01-02 23:00:00,90,5,-10.8,76,1010.9,0.0
2016-01-03 00:00:00,76,4,-11.0,77,1010.7,0.0
2016-01-03 01:00:00,79,4,-11.2,78,1010.6,0.0
2016-01-03 02:00:00,80,5,-11.5,79,1010.4,0.0
2016-01-03 03:00:00,90,6,-11.9,79,1010.1,0.0
2016-01-03 04:00:00,90,5,-12.5,80,1009.7,0.0
2016-01-03 05:00:00,90,6,-12.8,80,1009.5,0.0
2016-01-03 06:00:00,90,6,-13.3,81,1009.2,0.0
2016-01-03 07:00:00,101,5,-13.0,81,1009.1,0.0
2016-01-03 08:00:00,101,6,-12.9,81,1008.9,0.0
2016-01-03 09:00:00,110,5,-12.8,80,1008.1,0.0
2016-01-03 10:00:00,106,6,-12.7,81,1007.5,0.0
2016-01-03 11:00:00,106,5,-12.4,79,1006.7,0.0
2016-01-03 12:00:00,113,6,-11.7,78,1005.7,0.0
2016-01-03 13:00:00,125,5,-11.3,76,1005.0,0.0
2016-01-03 14:00:00,142,4,-11.8,77,1004.2,0.0
2016-01-03 15:00:00,119,2,-13.7,82,1003.9,0.0
2016-01-03 16:00:00,181,2,-15.0,85,1003.5,0.0
2016-01-03 17:00:00,81,2,-14.4,86,1002.6,0.0
2016-01-03 18:00:00,144,2,-15.5,86,1001.6,0.0
2016-01-03 19:00:00,106,3,-15.7,86,1000.6,0.0
2016-01-03 20:00:00,118,4,-13.3,84,999.4,0.0
2016-01-03 21:00:00,99,6,-12.6,83,998.3,0.0
2016-01-03 22:00:00,96,6,-12.6,80,997.1,0.0
2016-01-03 23:00:00,102,6,-12.8,81,995.6,0.0
2016-01-04 00:00:00,106,5,-13.1,82,994.7,0.0
