,WindDir,WindSpeed,Temp,Humidity,Pressure,Precip
2017-01-01 00:00:00,230,2,-3.6,73,1009.9,0.0
2017-01-01 01:00:00,260,1,-1.3,61,1009.7,0.0
2017-01-01 02:00:00,240,2,-1.7,63,1008.9,0.0
2017-01-01 03:00:00,200,1,-4.6,71,1008.4,0.0
2017-01-01 04:00:00,220,2,-3.1,69,1007.8,0.0
2017-01-01 05:00:00,230,1,-4.6,73,1007.6,0.0
2017-01-01 06:00:00,191,1,-6.7,80,1007.0,0.0
2017-01-01 07:00:00,124,1,-3.0,71,1006.4,0.0
2017-01-01 08:00:00,150,1,-2.2,70,1006.2,0.0
2017-01-01 09:00:00,201,1,0.2,63,1005.7,0.0
2017-01-01 10:00:00,183,1,2.7,54,1004.9,0.0
2017-01-01 11:00:00,183,2,4.1,48,1003.9,0.0
2017-01-01 12:00:00,174,2,5.4,44,1002.9,0.0
2017-01-01 13:00:00,243,1,6.2,39,1002.4,0.0
2017-01-01 14:00:00,268,2,5.3,46,1002.6,0.0
2017-01-01 15:00:00,238,2,1.5,55,1002.5,0.0
2017-01-01 16:00:00,260,2,0.7,60,1002.4,0.0
2017-01-01 17:00:00,240,4,-0.4,59,1002.3,0.0
2017-01-01 18:00:00,261,2,0.3,56,1002.2,0.0
2017-01-01 19:00:00,220,2,-0.4,61,1001.8,0.0
2017-01-01 20:00:00,200,1,-2.9,68,1001.4,0.0
2017-01-01 21:00:00,159,1,-3.4,74,1000.9,0.0
2017-01-01 22:00:00,136,1,-2.7,72,1000.5,0.0
2017-01-01 23:00:00,153,1,-3.9,76,999.9,0.0
2017-01-02 00:00:00,291,1,-5.9,79,999.4,0.0
2017-01-02 01:00:00,307,1,-5.8,80,999.4,0.0
2017-01-02 02:00:00,280,7,-1.7,76,999.4,0.0
2017-01-02 03:00:00,260,5,-1.2,71,999.2,0.0
2017-01-02 04:00:00,250,5,-0.2,70,998.8,0.0
2017-01-02 05:00:00,250,4,0.3,70,998.7,0.0
2017-01-02 06:00:00,274,5,1.0,77,998.7,0.0
2017-01-02 07:00:00,280,6,0.9,83,998.8,0.0
2017-01-02 08:00:00,274,5,1.1,84,998.9,0.0
2017-01-02 09:00:00,280,7,1.5,82,999.0,0.0
2017-01-02 10:00:00,275,5,0.8,91,999.1,0.0
2017-01-02 11:00:00,281,5,0.7,93,998.8,0.0
2017-01-02 12:00:00,279,5,0.6,93,998.8,0.3
2017-01-02 13:00:00,276,5,0.7,94,998.9,0.0
2017-01-02 14:00:00,278,6,0.9,91,999.0,0.0
2017-01-02 15:00:00,290,7,0.9,92,999.8,0.0
2017-01-02 16:00:00,290,5,1.0,91,1000.3,0.0
2017-01-02 17:00:00,280,6,1.0,92,1000.7,0.0
2017-01-02 18:00:00,290,6,0.9,92,1001.1,0.2
2017-01-02 19:00:00,300,5,0.9,91,1001.9,0.0
2017-01-02 20:00:00,300,6,0.7,90,1002.7,0.0
2017-01-02 21:00:00,300,4,0.4,87,1003.3,0.0
2017-01-02 22:00:00,284,3,-0.7,89,1003.5,0.0
2017-01-02 23:00:00,300,4,-0.7,91,1004.0,0.0
2017-01-03 00:00:00,280,5,-0.6,88,1003.9,0.0
2017-01-03 01:00:00,280,5,-0.9,88,1004.1,0.0
2017-01-03 02:00:00,270,5,-1.2,86,1004.0,0.0
2017-01-03 03:00:00,240,3,-1.6,86,1003.6,0.0
2017-01-03 04:00:00,220,3,-1.5,85,1002.7,0.0
2017-01-03 05:00:00,230,4,-1.4,91,1002.7,0.0
2017-01-03 06:00:00,260,6,0.4,91,1002.1,0.2
2017-01-03 07:00:00,270,6,0.9,88,1002.2,0.0
2017-01-03 08:00:00,275,6,1.0,91,1002.4,0.0
2017-01-03 09:00:00,280,7,1.4,91,1002.4,0.0
2017-01-03 10:00:00,270,5,1.3,93,1002.4,0.0
2017-01-03 11:00:00,270,7,1.8,92,1001.6,0.0
2017-01-03 12:00:00,280,7,2.1,91,1001.1,0.1
2017-01-03 13:00:00,270,8,2.0,92,1000.6,0.0
2017-01-03 14:00:00,280,8,2.3,88,1000.1,0.0
2017-01-03 15:00:00,270,7,2.6,83,999.7,0.0
2017-01-03 16:00:00,260,7,2.7,81,998.8,0.0
2017-01-03 17:00:00,270,8,2.9,80,997.8,0.0
