,WindDir,WindSpeed,Temp,Humidity,Pressure,Precip
2013-01-01 00:00:00,157,5,2.1,77,996.5,0.0
2013-01-01 01:00:00,140,2,1.5,83,996.3,0.0
2013-01-01 02:00:00,154,3,0.9,80,995.9,0.0
2013-01-01 03:00:00,119,2,1.5,82,995.1,0.0
2013-01-01 04:00:00,130,2,0.4,85,994.7,0.0
2013-01-01 05:00:00,170,3,-1.0,90,994.2,0.0
2013-01-01 06:00:00,150,3,0.1,78,994.0,0.0
2013-01-01 07:00:00,139,2,0.1,85,994.1,0.0
2013-01-01 08:00:00,170,4,1.8,77,994.3,0.0
2013-01-01 09:00:00,177,5,3.5,70,994.4,0.0
2013-01-01 10:00:00,163,5,4.1,68,994.3,0.0
2013-01-01 11:00:00,171,6,5.0,63,994.0,0.0
2013-01-01 12:00:00,149,4,5.3,68,993.7,0.0
2013-01-01 13:00:00,170,6,6.3,60,993.3,0.0
2013-01-01 14:00:00,167,5,5.3,62,993.4,0.0
2013-01-01 15:00:00,153,4,4.6,69,993.2,0.0
2013-01-01 16:00:00,157,3,4.2,69,993.3,0.0
2013-01-01 17:00:00,158,3,3.6,72,993.2,0.0
2013-01-01 18:00:00,167,3,3.9,69,993.8,0.0
2013-01-01 19:00:00,211,4,4.8,62,994.1,0.0
2013-01-01 20:00:00,195,4,4.3,66,994.6,0.0
2013-01-01 21:00:00,213,4,4.3,67,995.0,0.0
2013-01-01 22:00:00,213,4,3.8,71,995.2,0.0
2013-01-01 23:00:00,223,6,4.2,73,995.6,0.0
2013-01-02 00:00:00,226,5,4.6,71,995.7,0.0
2013-01-02 01:00:00,224,6,4.3,72,996.3,0.0
2013-01-02 02:00:00,224,4,4.4,74,997.0,0.0
2013-01-02 03:00:00,237,4,4.3,76,997.6,0.0
2013-01-02 04:00:00,246,7,4.2,79,998.7,0.0
2013-01-02 05:00:00,276,6,4.1,89,999.3,0.0
2013-01-02 06:00:00,270,4,4.1,87,1000.3,0.0
2013-01-02 07:00:00,274,3,3.7,87,1001.5,0.0
2013-01-02 08:00:00,244,4,3.2,87,1002.6,0.0
2013-01-02 09:00:00,232,2,3.0,85,1003.7,0.0
2013-01-02 10:00:00,227,4,3.8,77,1004.2,0.0
2013-01-02 11:00:00,226,5,5.8,61,1004.0,0.0
2013-01-02 12:00:00,247,5,6.7,58,1004.3,0.0
2013-01-02 13:00:00,265,5,6.1,63,1004.8,0.0
2013-01-02 14:00:00,261,4,5.9,65,1005.4,0.0
2013-01-02 15:00:00,244,4,5.1,70,1006.3,0.0
2013-01-02 16:00:00,257,5,5.0,73,1007.2,0.0
2013-01-02 17:00:00,254,5,4.4,83,1007.8,0.0
2013-01-02 18:00:00,254,5,4.3,84,1008.7,0.4
2013-01-02 19:00:00,267,6,4.2,85,1009.5,0.0
2013-01-02 20:00:00,266,3,3.9,90,1010.2,0.0
2013-01-02 21:00:00,252,3,4.3,90,1010.7,0.0
2013-01-02 22:00:00,269,4,4.6,83,1011.0,0.0
2013-01-02 23:00:00,254,5,4.7,80,1011.3,0.0
2013-01-03 00:00:00,248,5,4.6,79,1011.2,0.5
2013-01-03 01:00:00,248,5,4.8,77,1011.5,0.0
2013-01-03 02:00:00,232,4,4.2,76,1011.6,0.0
2013-01-03 03:00:00,241,4,4.6,72,1011.2,0.0
2013-01-03 04:00:00,231,4,4.6,71,1011.0,0.0
2013-01-03 05:00:00,215,5,4.4,70,1010.3,0.0
2013-01-03 06:00:00,220,5,4.2,71,1009.9,0.0
2013-01-03 07:00:00,200,5,4.4,71,1009.1,0.0
2013-01-03 08:00:00,210,6,4.6,71,1008.9,0.0
2013-01-03 09:00:00,220,5,4.1,77,1008.4,0.0
2013-01-03 10:00:00,230,5,4.1,80,1007.6,0.0
2013-01-03 11:00:00,230,5,3.8,92,1006.9,0.0
2013-01-03 12:00:00,240,4,4.8,87,1006.0,1.4
2013-01-03 13:00:00,270,7,7.0,86,1005.8,0.0
2013-01-03 14:00:00,280,8,6.8,89,1006.3,0.0
2013-01-03 15:00:00,280,8,6.9,93,1006.7,0.0
2013-01-03 16:00:00,280,8,7.6,90,1006.7,0.0
2013-01-03 17:00:00,280,7,8.2,88,1006.7,0.0
2013-01-03 18:00:00,280,8,8.7,85,1006.3,0.2
2013-01-03 19:00:00,281,8,8.9,85,1006.6,0.0
2013-01-03 20:00:00,275,10,9.0,84,1006.3,0.0
2013-01-03 21:00:00,279,10,9.1,86,1006.3,0.0
2013-01-03 22:00:00,295,8,9.1,84,1007.0,0.0
2013-01-03 23:00:00,289,8,8.6,79,1007.5,0.0
2013-01-04 00:00:00,291,7,8.2,77,1007.4,0.1
2013-01-04 01:00:00,293,7,8.1,75,1008.2,0.0
2013-01-04 02:00:00,296,7,7.8,71,1008.6,0.0
2013-01-04 03:00:00,291,7,7.4,73,1008.9,0.0
2013-01-04 04:00:00,292,7,6.9,74,1008.8,0.0
2013-01-04 05:00:00,288,7,6.7,74,1008.4,0.0
2013-01-04 06:00:00,289,7,6.5,75,1009.0,0.0
2013-01-04 07:00:00,294,8,6.5,74,1009.1,0.0
2013-01-04 08:00:00,292,7,6.6,74,1009.6,0.0
2013-01-04 09:00:00,295,8,6.9,72,1009.7,0.0
2013-01-04 10:00:00,294,7,7.0,73,1009.9,0.0
2013-01-04 11:00:00,293,6,7.6,70,1009.2,0.0
2013-01-04 12:00:00,294,7,7.6,72,1009.0,0.0
2013-01-04 13:00:00,293,6,7.6,73,1008.8,0.0
2013-01-04 14:00:00,273,5,7.5,76,1008.2,0.0
2013-01-04 15:00:00,279,5,7.5,78,1007.8,0.0
2013-01-04 16:00:00,283,3,6.7,87,1006.7,0.0
2013-01-04 17:00:00,235,4,6.6,92,1005.0,0.0
2013-01-04 18:00:00,233,5,6.4,96,1004.0,0.8
2013-01-04 19:00:00,286,5,7.7,97,1003.3,0.0
2013-01-04 20:00:00,297,7,8.8,96,1002.9,0.0
2013-01-04 21:00:00,301,7,9.0,92,1002.7,0.0
2013-01-04 22:00:00,316,6,8.1,94,1002.8,0.0
2013-01-04 23:00:00,303,6,8.5,91,1002.8,0.0
2013-01-05 00:00:00,309,6,8.3,89,1003.1,3.8
2013-01-05 01:00:00,303,6,7.8,92,1003.6,0.0
