,MaxTemp,MinTemp,AvgTmp,Precip,WindSpeed,Humidity,Pressure
2014-01-01,7.4,0.8,3.5,0.0,3.4,85.9,1001.9
2014-01-02,6.5,-2.0,2.0,0.1,3.4,89.5,996.2
2014-01-03,9.6,-0.9,4.6,0.2,2.9,87.0,998.4
2014-01-04,9.1,1.6,6.8,6.2,4.1,84.3,997.5
2014-01-05,11.1,4.3,7.7,4.3,2.4,92.6,991.7
2014-01-06,9.4,-0.6,4.2,0.1,3.0,89.1,1000.9
2014-01-07,10.7,2.5,6.6,0.0,3.1,81.8,1002.4
2014-01-08,13.3,1.6,7.4,0.0,3.5,84.0,1003.8
2014-01-09,12.3,1.4,7.7,0.5,4.1,81.9,997.2
2014-01-10,11.9,6.3,7.3,0.0,6.6,70.6,996.1
2014-01-11,8.0,2.4,5.1,0.8,4.3,74.8,1000.2
2014-01-12,6.9,3.4,4.5,0.0,7.6,75.9,1002.4
2014-01-13,4.1,-0.1,1.9,0.0,3.3,84.1,1001.2
2014-01-14,4.6,-0.4,2.8,7.8,2.4,87.3,994.6
2014-01-15,3.4,0.7,1.2,1.0,2.4,98.8,995.6
2014-01-16,4.1,0.0,2.2,0.0,3.6,95.9,995.4
2014-01-17,7.1,2.9,5.0,0.2,1.9,92.0,991.6
2014-01-18,7.9,-2.9,3.1,0.3,2.9,95.5,995.4
2014-01-19,5.6,2.8,4.1,0.0,4.0,97.4,992.6
2014-01-20,2.9,1.3,1.9,11.5,3.9,97.1,991.3
2014-01-21,1.5,-2.2,-0.9,2.3,2.6,97.9,995.3
2014-01-22,-2.2,-5.2,-4.5,0.0,2.5,94.8,1001.6
2014-01-23,-3.7,-5.2,-4.4,0.0,3.0,87.5,1005.7
2014-01-24,-3.8,-7.5,-6.2,0.0,5.3,85.5,1004.7
2014-01-25,-7.4,-13.0,-10.6,0.0,2.9,81.9,1008.4
2014-01-26,-7.7,-11.5,-9.8,0.0,4.4,79.0,998.7
2014-01-27,-0.6,-10.1,-4.5,0.1,5.3,87.4,988.6
2014-01-28,-0.8,-5.3,-3.7,0.3,3.8,84.9,992.2
2014-01-29,-3.6,-6.6,-5.2,0.0,4.9,83.5,996.0
2014-01-30,-1.9,-5.3,-3.8,0.0,5.8,82.8,1002.3
2014-01-31,6.2,-2.4,2.1,0.0,5.4,80.5,999.2
2014-02-01,9.9,4.1,7.1,0.0,8.1,70.6,995.9
2014-02-02,8.4,3.3,4.4,0.0,3.6,79.9,1000.7
2014-02-03,6.9,0.6,2.8,0.0,4.1,78.0,1005.2
2014-02-04,7.8,-4.8,2.6,0.0,3.6,64.4,1000.8
2014-02-05,7.6,-1.0,3.4,0.0,6.9,75.3,993.2
2014-02-06,8.9,-0.6,3.5,0.0,3.8,82.0,994.1
2014-02-07,8.2,-1.2,4.0,0.0,4.6,83.4,988.5
2014-02-08,11.0,2.3,6.5,0.0,4.9,71.6,988.9
2014-02-09,10.0,1.4,5.3,0.0,2.4,85.1,985.1
2014-02-10,8.9,-0.1,4.7,0.8,4.3,76.6,988.5
2014-02-11,8.8,4.1,5.9,0.1,3.9,78.6,988.7
2014-02-12,7.0,-4.7,1.8,0.0,1.5,86.5,994.4
2014-02-13,10.0,-3.2,3.1,0.0,3.4,78.9,988.6
2014-02-14,8.5,2.7,5.2,0.0,4.4,73.0,992.3
2014-02-15,12.8,-2.3,5.6,0.6,4.8,72.9,992.7
2014-02-16,10.2,5.2,8.0,0.0,4.3,70.9,994.9
2014-02-17,10.9,0.4,5.0,0.0,3.1,75.0,1001.0
2014-02-18,11.2,-1.9,4.9,0.0,2.8,74.5,1003.8
2014-02-19,9.2,1.3,6.0,0.0,2.6,81.9,997.6
2014-02-20,12.2,3.3,6.6,0.0,2.5,78.8,999.7
2014-02-21,14.0,-0.4,6.4,0.1,3.9,80.5,995.2
2014-02-22,10.2,3.3,6.2,0.0,2.3,77.0,1000.8
2014-02-23,11.6,-3.7,3.7,0.0,1.4,76.4,1009.4
2014-02-24,9.6,-3.4,2.7,0.0,4.6,81.9,1009.3
2014-02-25,12.1,-0.9,4.8,0.0,4.8,81.0,1003.6
2014-02-26,12.2,-0.8,5.8,0.0,3.6,76.9,1003.7
2014-02-27,10.0,3.2,5.7,0.0,1.1,78.6,1002.8
2014-02-28,11.1,-2.4,3.9,0.2,2.8,84.3,994.1
2014-03-01,12.1,-4.3,4.8,0.0,2.6,79.8,990.8
2014-03-02,14.8,-1.3,6.5,0.0,3.0,72.9,990.5
2014-03-03,10.4,1.6,5.8,0.0,5.8,78.0,986.5
2014-03-04,9.6,3.6,6.1,0.0,3.4,80.9,989.7
2014-03-05,11.4,-3.0,5.2,0.0,1.8,81.9,1000.6
2014-03-06,8.7,4.3,6.3,0.0,1.6,79.0,1013.3
2014-03-07,7.4,3.5,5.2,0.0,2.3,73.1,1014.1
2014-03-08,11.9,-3.4,4.4,0.0,1.6,77.1,1017.5
2014-03-09,13.3,-4.9,3.8,0.0,2.6,77.3,1020.4
2014-03-10,15.1,-0.4,6.4,0.0,2.5,58.3,1013.9
2014-03-11,16.5,-4.0,6.5,0.0,1.5,59.0,1014.3
2014-03-12,13.7,-3.5,6.3,0.0,1.1,57.8,1019.0
2014-03-13,17.3,-3.0,6.3,0.0,0.9,58.5,1013.7
2014-03-14,16.5,-0.5,8.8,0.0,2.5,56.3,1007.9
2014-03-15,12.1,2.1,8.0,1.5,7.1,67.3,992.9
2014-03-16,11.6,5.8,8.6,5.4,8.0,87.5,988.9
2014-03-17,13.1,8.8,10.8,0.1,7.5,76.4,996.6
2014-03-18,12.8,6.9,9.8,1.5,3.5,74.3,998.7
2014-03-19,10.7,7.8,9.4,1.0,5.1,84.9,999.4
2014-03-20,20.2,7.1,12.7,0.0,4.0,58.1,1004.3
2014-03-21,22.5,6.0,16.1,0.0,5.4,48.1,996.3
2014-03-22,20.5,6.2,13.9,0.7,3.0,64.9,992.0
2014-03-23,16.8,7.3,8.6,16.3,2.8,93.8,989.6
2014-03-24,7.3,4.0,4.6,5.6,3.8,96.5,991.9
2014-03-25,9.3,3.5,4.4,3.2,3.8,91.5,993.9
2014-03-26,11.6,-2.7,5.6,0.0,2.4,75.5,1002.1
2014-03-27,12.7,-1.9,7.3,0.6,2.0,70.1,1003.6
2014-03-28,11.4,6.8,8.2,0.0,1.9,87.0,1005.9
2014-03-29,15.1,2.0,8.0,0.0,0.9,86.9,1009.5
2014-03-30,18.0,-1.1,8.1,0.0,1.4,70.5,1004.0
2014-03-31,18.0,1.1,9.5,0.0,1.9,65.4,998.0
2014-04-01,14.2,1.3,8.4,0.0,2.4,70.9,999.3
2014-04-02,14.8,1.7,7.9,0.3,4.1,67.3,998.5
2014-04-03,21.7,3.8,13.7,1.1,3.1,58.6,991.4
2014-04-04,17.8,7.9,12.0,2.8,3.5,64.4,996.5
2014-04-05,13.9,6.9,8.7,1.7,3.0,70.1,1000.5
2014-04-06,16.6,2.4,9.4,0.0,2.3,74.6,1002.3
2014-04-07,20.2,2.6,12.4,0.0,1.6,75.5,1002.8
2014-04-08,22.5,8.1,14.5,0.4,3.6,68.8,997.2
2014-04-09,14.8,4.6,8.1,5.2,5.1,70.1,1001.8
2014-04-10,9.5,5.2,6.9,2.2,3.8,84.6,1002.0
2014-04-11,13.4,3.0,7.9,0.0,1.1,76.9,1005.4
2014-04-12,15.5,3.3,9.3,0.0,1.3,69.1,1002.7
2014-04-13,15.2,3.8,9.6,0.0,2.4,72.6,999.4
2014-04-14,11.6,5.5,8.4,5.3,4.8,73.3,993.6
2014-04-15,11.3,2.5,5.6,6.6,4.3,84.3,1000.0
2014-04-16,11.5,3.5,6.5,0.0,2.8,66.1,1012.0
2014-04-17,12.7,-2.5,6.1,0.0,1.8,63.8,1009.1
2014-04-18,14.1,0.6,7.6,0.0,2.3,69.8,996.2
2014-04-19,22.2,5.2,13.7,0.0,4.3,63.9,999.4
2014-04-20,18.6,8.6,13.5,0.0,3.4,68.6,997.7
2014-04-21,18.5,5.5,13.0,0.6,3.9,71.0,994.8
2014-04-22,19.6,7.6,13.6,3.3,2.3,84.0,997.7
2014-04-23,20.3,10.2,14.9,1.8,1.3,85.1,1003.9
2014-04-24,21.5,12.2,15.5,1.9,1.9,82.5,1004.3
2014-04-25,19.5,8.6,14.8,0.0,2.4,76.5,1000.6
2014-04-26,19.3,8.8,14.5,0.0,1.5,81.1,997.0
2014-04-27,21.1,7.8,15.0,0.1,2.3,80.4,993.0
2014-04-28,18.3,13.2,14.0,0.0,2.0,86.8,994.7
2014-04-29,20.6,8.8,14.4,0.0,1.5,71.8,995.8
2014-04-30,21.7,9.6,15.6,0.0,1.4,63.9,994.5
2014-05-01,22.2,10.1,15.0,2.3,1.4,72.8,995.1
2014-05-02,14.1,6.0,7.3,16.8,2.6,83.0,999.8
2014-05-03,8.8,3.1,5.3,0.3,2.4,86.4,1004.8
2014-05-04,13.4,0.2,6.9,0.0,3.3,70.4,1005.1
2014-05-05,13.6,-0.2,7.9,0.0,1.9,69.0,1004.8
2014-05-06,19.1,1.1,11.8,0.1,3.6,66.1,1001.5
2014-05-07,18.2,11.7,14.5,7.3,3.4,75.9,996.1
2014-05-08,18.4,8.1,13.1,1.1,2.6,75.6,999.0
2014-05-09,20.6,9.9,15.8,0.9,3.6,72.3,996.6
2014-05-10,18.1,9.9,14.4,1.1,3.5,62.9,997.4
2014-05-11,19.6,11.5,14.2,0.7,3.4,70.3,990.4
2014-05-12,15.9,6.1,11.0,5.5,3.1,70.3,993.8
2014-05-13,16.9,7.0,11.3,0.3,3.6,71.3,997.7
2014-05-14,14.8,6.3,10.2,0.0,3.5,68.9,1005.6
2014-05-15,17.0,5.3,11.4,0.0,4.4,68.1,1010.1
2014-05-16,14.5,9.0,10.0,21.8,4.4,71.6,1006.5
2014-05-17,13.3,8.6,10.2,20.4,2.5,90.4,1000.4
2014-05-18,17.2,5.8,12.4,0.0,3.4,83.4,998.4
2014-05-19,22.8,10.4,16.2,0.0,3.5,73.4,999.0
2014-05-20,25.8,10.7,18.9,0.0,2.8,65.3,1000.8
2014-05-21,27.3,9.6,19.5,0.0,3.4,65.0,1002.5
2014-05-22,28.1,14.1,21.4,0.0,6.0,62.9,999.2
2014-05-23,29.6,16.3,23.0,0.0,5.8,63.3,995.5
2014-05-24,25.2,15.6,18.8,9.9,2.3,88.4,998.7
