,MaxTemp,MinTemp,AvgTmp,Precip,WindSpeed,Humidity,Pressure
2016-01-01,-0.2,-6.9,-2.2,4.2,1.9,92.3,1011.4
2016-01-02,-0.9,-12.7,-7.9,0.0,5.3,80.3,1011.5
2016-01-03,-8.7,-15.5,-12.8,0.0,4.6,80.8,1006.0
2016-01-04,-4.4,-15.8,-8.6,0.5,4.6,79.8,987.6
2016-01-05,-3.7,-9.6,-5.6,0.6,2.9,87.5,986.1
2016-01-06,-0.4,-3.7,-2.2,0.8,2.6,88.8,988.8
2016-01-07,-0.7,-3.7,-2.2,1.2,2.9,89.6,989.8
2016-01-08,6.0,-1.7,2.2,0.0,6.1,76.1,988.3
2016-01-09,3.2,-6.0,-0.4,0.0,2.5,80.8,992.8
2016-01-10,4.3,-5.2,-0.1,0.9,1.9,92.6,986.7
2016-01-11,5.9,-1.0,3.5,2.0,2.1,90.8,980.1
2016-01-12,4.9,1.5,3.3,4.5,3.4,94.3,978.8
2016-01-13,5.9,2.2,3.7,3.1,4.3,87.5,988.9
2016-01-14,4.8,-1.3,1.0,0.0,3.0,85.5,997.9
2016-01-15,2.2,-2.5,0.6,0.7,1.6,94.1,992.6
2016-01-16,1.0,-0.8,-0.2,0.2,2.1,86.0,1002.5
2016-01-17,0.6,-6.4,-2.6,0.0,1.8,74.1,1005.9
2016-01-18,-1.4,-5.9,-4.3,0.0,1.5,84.8,1007.8
2016-01-19,-1.0,-12.2,-7.6,0.0,1.3,81.6,1003.5
2016-01-20,-1.3,-10.9,-4.0,0.8,2.5,85.0,999.6
2016-01-21,-1.4,-4.6,-2.8,0.1,2.9,82.0,1010.2
2016-01-22,-2.2,-13.1,-6.9,0.0,2.0,80.1,1018.9
2016-01-23,0.0,-12.2,-4.4,2.5,2.4,85.5,1013.7
2016-01-24,4.7,-1.0,2.3,1.0,2.5,95.5,1016.3
2016-01-25,7.1,-1.2,4.6,2.4,2.4,96.8,1010.1
2016-01-26,10.2,4.4,7.6,0.5,2.5,91.0,1008.5
2016-01-27,13.5,6.7,10.1,0.0,4.4,73.6,1003.0
2016-01-28,12.9,3.8,8.6,0.3,4.6,71.1,1004.2
2016-01-29,9.8,0.8,5.7,0.0,4.0,69.3,1009.8
