,MaxTemp,MinTemp,AvgTmp,Precip,WindSpeed,Humidity,Pressure
2017-01-01,6.6,-6.9,-1.4,0.0,1.5,64.5,1004.9
2017-01-02,1.5,-6.2,-0.2,0.7,5.0,84.1,999.9
2017-01-03,3.2,-2.2,1.3,1.5,6.1,85.8,1000.5
2017-01-04,4.2,1.1,2.3,0.9,9.6,84.4,985.1
2017-01-05,1.8,-4.4,-2.4,0.4,5.9,65.0,1004.7
2017-01-06,-4.3,-10.0,-7.6,0.0,2.3,72.5,1021.6
2017-01-07,-4.8,-15.6,-9.4,0.1,2.1,71.5,1018.6
2017-01-08,-5.1,-10.3,-8.0,0.0,3.4,67.6,1014.1
2017-01-09,-3.6,-13.8,-6.6,0.0,1.8,81.4,1012.7
2017-01-10,-2.7,-9.1,-6.1,0.0,4.0,72.1,1004.3
2017-01-11,0.5,-11.2,-5.0,1.9,4.4,64.6,997.6
2017-01-12,5.1,-2.8,3.1,0.0,6.0,76.6,990.1
2017-01-13,6.2,0.9,3.1,0.3,6.9,75.6,979.5
2017-01-14,2.5,-3.5,0.5,1.1,3.0,86.0,987.9
2017-01-15,2.4,-1.0,0.8,1.6,4.1,85.3,998.4
2017-01-16,1.0,-3.3,-0.9,0.1,2.0,92.4,1007.2
2017-01-17,-0.8,-4.7,-2.1,0.0,1.9,92.0,1019.1
2017-01-18,-1.3,-5.4,-4.8,0.0,1.6,90.9,1025.7
2017-01-19,-4.9,-9.0,-6.5,0.0,1.9,86.0,1024.5
2017-01-20,2.1,-9.5,-1.0,0.0,2.3,76.9,1020.5
2017-01-21,2.4,-2.9,-0.3,0.0,1.5,82.1,1018.5
2017-01-22,1.8,-4.8,-1.7,0.0,3.9,84.5,1015.7
2017-01-23,2.2,-8.6,-2.7,0.0,2.6,72.4,1010.2
2017-01-24,-2.0,-5.3,-3.2,0.1,3.3,88.9,1012.6
2017-01-25,0.5,-2.0,-0.6,0.0,1.9,93.4,1016.7
2017-01-26,2.8,-3.2,-0.5,0.0,2.5,87.0,1018.0
2017-01-27,2.8,-6.5,-2.8,0.0,2.6,69.5,1011.9
2017-01-28,1.5,-9.0,-4.9,0.0,2.3,75.1,1008.2
2017-01-29,2.1,-10.3,-4.5,0.0,2.0,79.3,1009.0
2017-01-30,4.0,-8.4,-2.3,0.4,2.5,74.4,1005.1
2017-01-31,0.8,-2.4,-0.8,2.5,4.0,82.1,1002.9
2017-02-01,1.3,-4.3,-1.2,0.0,1.6,90.0,1007.2
2017-02-02,-0.3,-6.2,-1.9,2.4,3.0,95.3,1002.3
2017-02-03,3.1,-0.6,1.4,0.9,3.1,96.8,996.0
2017-02-04,3.6,1.5,2.1,1.3,3.5,98.1,992.9
2017-02-05,3.0,1.2,1.9,0.9,2.5,96.9,991.6
2017-02-06,2.1,-1.5,-0.7,0.0,2.3,90.1,1002.3
2017-02-07,-0.6,-2.2,-1.6,0.0,2.5,82.3,1008.1
2017-02-08,-2.2,-5.7,-5.1,0.0,3.1,73.3,1013.7
2017-02-09,-3.8,-5.6,-4.7,0.0,3.8,73.6,1018.5
2017-02-10,0.8,-5.1,-2.5,0.0,4.6,75.1,1015.5
2017-02-11,-0.7,-4.6,-2.6,0.0,4.8,60.6,1014.1
2017-02-12,0.9,-3.5,-2.1,0.0,3.6,68.4,1019.0
2017-02-13,-2.3,-8.1,-5.9,0.0,3.1,88.0,1023.2
2017-02-14,0.5,-5.8,-4.0,0.0,1.9,90.8,1021.9
2017-02-15,10.6,-7.1,0.2,0.0,1.3,68.5,1020.8
2017-02-16,11.4,-5.4,3.4,0.6,2.0,65.0,1014.7
2017-02-17,7.3,2.0,4.5,2.7,3.0,86.9,1007.0
2017-02-18,5.6,2.9,3.9,0.5,2.3,94.4,1009.6
2017-02-19,8.5,1.1,3.7,0.0,2.8,76.9,1007.7
2017-02-20,9.7,0.9,5.5,4.8,4.3,78.5,1000.7
2017-02-21,10.4,5.2,7.7,1.1,5.4,84.0,992.9
2017-02-22,13.2,1.0,7.6,4.4,6.1,78.1,989.8
2017-02-23,11.6,4.7,7.8,1.9,6.1,80.1,984.1
