,MaxTemp,MinTemp,AvgTmp,Precip,WindSpeed,Humidity,Pressure
2021-01-01,-0.3,-3.2,-1.2,0.0,3.8,97.5,994.7
2021-01-02,1.4,-3.5,-0.4,1.9,1.3,96.0,1000.1
2021-01-03,3.4,0.8,2.0,5.6,2.0,94.6,998.8
2021-01-04,3.5,1.6,2.3,0.1,1.1,96.1,1000.4
2021-01-05,2.7,0.5,1.4,5.9,2.3,97.4,998.1
2021-01-06,2.1,0.4,0.8,1.3,1.5,95.5,996.0
2021-01-07,1.3,0.0,0.7,0.4,3.3,89.8,996.5
2021-01-08,2.2,-0.1,0.9,0.2,2.6,84.9,998.4
2021-01-09,1.4,0.2,0.5,0.1,2.5,87.9,1004.5
2021-01-10,1.5,-0.6,0.7,0.2,1.6,94.1,1008.6
2021-01-11,1.5,-5.2,-1.8,0.0,2.1,88.1,1005.9
2021-01-12,2.3,-4.3,0.8,1.2,5.0,76.0,992.2
2021-01-13,3.4,0.0,1.3,3.1,5.1,86.0,992.4
2021-01-14,2.1,-1.3,0.0,0.6,3.1,91.0,995.5
2021-01-15,0.5,-2.2,-1.0,2.1,1.9,90.3,1004.8
2021-01-16,-1.0,-4.8,-3.5,0.6,4.9,86.0,1005.3
2021-01-17,-2.6,-13.1,-8.9,0.0,2.3,79.0,1005.1
2021-01-18,-4.3,-16.7,-8.9,2.4,1.9,88.0,1006.2
2021-01-19,3.4,-4.3,2.3,2.3,4.5,83.6,997.8
2021-01-20,7.9,2.0,3.7,0.0,3.6,80.0,993.0
2021-01-21,8.3,1.0,4.8,0.0,3.5,77.0,989.3
2021-01-22,13.5,3.5,7.4,0.0,4.1,71.1,982.9
2021-01-23,10.4,2.3,4.3,0.1,4.5,84.6,981.0
2021-01-24,3.1,0.1,1.4,1.4,2.0,90.6,981.9
2021-01-25,2.3,-0.2,1.2,0.0,2.5,85.6,987.5
2021-01-26,3.1,-1.6,0.5,1.1,4.1,85.8,995.8
2021-01-27,2.9,-1.2,0.7,0.0,2.8,83.4,998.9
2021-01-28,3.1,-4.6,0.3,2.4,2.5,89.4,990.4
2021-01-29,2.0,-3.6,-1.0,3.7,1.9,86.6,984.8
2021-01-30,-0.3,-2.7,-1.8,1.7,2.1,92.0,984.9
2021-01-31,0.1,-10.8,-6.7,0.0,1.4,85.9,992.1
2021-02-01,-1.3,-12.9,-7.2,0.0,4.0,84.1,988.3
2021-02-02,4.8,-5.6,0.5,0.4,2.5,87.4,989.3
2021-02-03,11.8,2.0,7.0,2.6,3.8,88.0,987.1
2021-02-04,9.4,0.2,3.7,1.0,3.4,86.9,994.8
2021-02-05,1.4,-0.3,0.2,0.6,3.8,84.9,1004.7
2021-02-06,0.7,-1.6,-1.1,1.0,6.0,69.3,1003.8
2021-02-07,-1.4,-8.1,-6.7,3.6,7.5,75.5,997.2
2021-02-08,-6.8,-9.6,-8.0,1.2,4.1,80.0,987.0
2021-02-09,-6.6,-9.7,-7.9,1.0,1.3,86.4,990.1
2021-02-10,-7.6,-9.0,-8.2,0.2,2.0,85.6,995.1
2021-02-11,-5.3,-12.1,-8.3,0.1,2.3,81.6,1007.9
2021-02-12,-5.9,-16.1,-8.7,0.3,2.6,85.3,1017.0
2021-02-13,-1.1,-11.0,-5.1,0.0,3.5,83.3,1021.6
2021-02-14,-1.9,-6.0,-5.1,0.0,3.6,81.5,1024.4
2021-02-15,-2.8,-14.8,-8.3,1.2,2.5,79.3,1020.7
2021-02-16,1.3,-5.6,-0.9,1.0,2.6,89.4,1006.4
2021-02-17,5.2,-0.3,2.5,1.4,3.6,91.1,1000.1
2021-02-18,6.7,1.4,3.9,0.0,3.3,90.6,1005.3
2021-02-19,10.5,0.8,4.8,0.2,4.0,79.0,1003.7
2021-02-20,11.7,-3.8,3.5,0.0,3.0,77.4,1008.4
2021-02-21,12.1,-0.9,5.1,0.0,1.8,81.1,1007.7
2021-02-22,10.7,-2.9,3.3,0.0,1.6,85.5,1009.4
2021-02-23,16.3,-2.9,5.7,0.0,1.0,79.5,1017.7
2021-02-24,20.6,0.3,10.6,0.0,1.9,66.5,1018.6
2021-02-25,20.4,1.5,10.6,0.0,1.5,66.4,1014.1
2021-02-26,13.6,0.7,6.6,0.1,2.3,81.0,1012.5
2021-02-27,8.1,3.6,5.3,0.0,4.4,83.4,1018.8
2021-02-28,9.6,0.6,4.9,0.0,3.5,79.4,1020.5
2021-03-01,6.8,2.2,3.0,0.0,2.0,88.0,1021.0
2021-03-02,12.9,-4.1,2.7,0.0,1.1,87.1,1019.6
2021-03-03,15.8,-4.0,5.3,0.0,1.5,75.5,1012.9
2021-03-04,12.0,2.5,6.4,0.6,3.1,71.5,1002.0
2021-03-05,5.3,-1.3,1.6,0.0,2.9,71.3,1007.2
2021-03-06,6.5,-3.8,1.1,0.0,3.8,63.4,1015.2
2021-03-07,4.8,0.2,2.9,0.3,5.0,64.6,1007.0
2021-03-08,4.1,-1.3,1.1,0.0,2.3,69.0,1005.5
2021-03-09,5.4,-7.3,-1.1,0.0,1.4,63.6,1006.2
2021-03-10,6.5,-8.0,-0.5,0.0,2.1,59.3,1005.5
2021-03-11,7.1,-4.1,2.5,1.5,6.3,74.5,993.5
2021-03-12,9.9,4.5,6.8,2.5,4.9,70.6,991.1
