,MaxTemp,MinTemp,AvgTmp,Precip,WindSpeed,Humidity,Pressure
2015-01-01,4.7,-0.5,2.5,0.0,3.6,90.3,1016.1
2015-01-02,7.3,-0.9,4.6,2.1,5.3,79.1,1006.1
2015-01-03,6.2,3.6,4.6,0.4,6.4,64.5,1003.5
2015-01-04,4.6,2.0,3.0,0.1,6.6,75.1,1002.1
2015-01-05,2.6,0.3,1.1,6.6,3.6,90.6,1009.2
2015-01-06,1.2,-6.7,-2.6,0.0,2.0,89.9,1013.8
2015-01-07,0.3,-6.2,-2.4,0.3,5.1,82.1,1012.4
2015-01-08,4.3,-2.5,1.8,2.5,3.9,81.3,1009.0
2015-01-09,9.4,2.7,5.6,7.3,6.1,79.6,998.1
2015-01-10,15.3,3.8,9.5,9.1,7.3,81.8,988.3
2015-01-11,13.8,2.7,4.2,1.1,8.0,66.6,993.1
2015-01-12,7.1,1.7,5.0,0.2,6.5,79.9,1000.1
2015-01-13,11.2,5.5,8.5,0.0,6.4,59.5,997.8
2015-01-14,11.8,4.8,8.0,1.0,4.5,58.0,995.7
2015-01-15,6.2,-1.7,4.2,0.0,5.3,70.8,999.0
2015-01-16,11.3,2.1,5.0,0.0,2.9,77.5,994.9
2015-01-17,5.7,-2.2,3.4,1.5,2.6,90.4,996.4
2015-01-18,5.8,1.0,2.9,0.0,1.6,92.6,1003.4
2015-01-19,2.7,-1.6,1.6,0.0,3.0,90.9,1001.0
2015-01-20,2.9,0.8,1.6,0.0,2.0,93.1,997.9
2015-01-21,2.6,0.2,1.9,0.0,2.0,86.0,1000.6
2015-01-22,5.2,2.1,3.5,0.0,2.8,86.4,1001.9
2015-01-23,4.2,0.4,2.0,0.0,2.3,92.4,1005.8
2015-01-24,0.4,-2.2,-0.8,0.0,1.6,84.9,1005.7
2015-01-25,1.9,-1.0,0.4,0.1,2.6,89.1,1007.4
2015-01-26,3.2,-1.8,0.1,2.0,2.8,82.4,1007.8
2015-01-27,3.7,-3.2,1.8,2.4,3.8,90.9,997.4
2015-01-28,5.2,1.6,2.8,0.0,4.3,78.0,996.1
2015-01-29,5.9,0.3,3.1,0.0,6.3,64.5,978.5
2015-01-30,5.6,0.2,2.2,1.2,4.8,79.9,962.8
2015-01-31,3.5,-2.3,1.2,0.1,4.0,73.5,966.2
2015-02-01,5.5,-1.4,1.1,0.0,3.8,73.8,975.8
2015-02-02,4.0,-2.2,1.0,0.0,2.9,74.3,981.5
2015-02-03,3.8,-1.5,0.7,0.0,3.5,76.4,986.9
2015-02-04,1.1,-4.1,-1.2,0.3,2.0,85.6,995.6
2015-02-05,0.2,-5.2,-1.9,0.0,1.8,88.9,1007.2
2015-02-06,-0.2,-2.5,-1.5,0.0,3.3,76.0,1013.1
2015-02-07,2.1,-7.4,-1.9,2.4,4.3,79.1,1008.7
2015-02-08,2.4,-2.0,0.2,0.8,5.3,74.0,998.7
2015-02-09,3.8,-1.8,1.7,3.8,4.8,86.8,1001.7
2015-02-10,6.2,3.5,4.6,0.0,4.3,84.4,1009.1
2015-02-11,5.8,3.4,4.3,0.0,2.3,82.3,1012.3
2015-02-12,7.1,-0.9,2.5,0.0,2.4,76.4,1009.9
2015-02-13,8.2,-6.3,1.2,0.0,2.4,76.1,1006.4
2015-02-14,8.4,-4.0,2.4,0.0,4.6,71.1,1001.2
2015-02-15,10.6,-3.3,3.0,0.0,2.8,72.5,1004.5
2015-02-16,5.2,-0.4,0.3,0.0,6.4,78.0,1012.9
2015-02-17,6.7,-4.4,0.5,0.0,4.9,72.3,1017.4
2015-02-18,3.5,-1.3,1.2,0.0,2.1,86.5,1023.3
2015-02-19,6.3,-5.8,0.6,0.0,1.5,79.8,1014.6
2015-02-20,9.6,-5.4,2.1,0.0,2.5,73.4,1002.7
2015-02-21,9.9,-1.0,4.7,0.0,3.6,60.3,988.2
2015-02-22,7.2,-3.6,1.9,0.0,1.3,78.8,993.5
2015-02-23,8.0,0.0,4.6,0.4,3.6,82.5,989.4
2015-02-24,9.1,2.2,5.2,0.0,1.8,78.9,992.1
2015-02-25,7.9,0.4,4.7,0.0,1.9,73.9,1002.8
2015-02-26,7.5,0.7,4.5,0.0,1.9,79.6,1006.3
2015-02-27,8.9,3.5,6.0,0.0,2.8,83.6,999.8
2015-02-28,7.3,2.6,5.1,0.0,2.6,75.0,1003.7
2015-03-01,9.2,-3.8,3.7,0.2,4.8,77.8,995.5
2015-03-02,10.7,4.5,6.7,0.6,5.6,66.4,987.8
2015-03-03,8.1,1.4,3.9,0.0,5.9,63.1,1000.3
2015-03-04,8.2,0.4,5.2,0.0,5.5,60.6,1004.9
2015-03-05,6.8,-0.6,3.3,0.0,3.0,70.4,1014.1
2015-03-06,8.3,-1.6,3.2,0.1,2.4,80.6,1019.3
2015-03-07,11.8,1.6,6.0,0.0,2.5,71.9,1018.4
2015-03-08,16.6,-0.4,7.4,0.0,2.6,62.1,1013.2
2015-03-09,15.5,-0.4,7.5,0.0,2.1,48.8,1011.0
2015-03-10,15.6,-2.5,6.7,2.3,1.3,57.9,1009.9
2015-03-11,8.7,4.4,5.3,0.0,2.6,79.5,1010.0
